date,mean_compound_reuters,mean_compound_guardian,mean_compound_cnbc,mean_compound_other,mean_compound_twitter,Adj Close
2016/04/01,0.0,0.0,0.0,0.1439111111111111,0.1223511764705882,29.924999237060547
2016/04/04,0.0,0.0,0.0,0.0,0.0936523809523809,29.659500122070312
2016/04/05,0.0,0.0,0.0,0.5736285714285715,0.0899342105263158,29.30699920654297
2016/04/06,0.0,0.0,0.0,0.1779,0.1661214285714285,30.104000091552734
2016/04/07,0.0,0.0,0.0,0.0,0.092245652173913,29.57150077819824
2016/04/08,0.0,0.0,0.0,0.2828,0.0896483425414364,29.729999542236328
2016/04/11,0.0,0.0,0.0,0.0,0.1291867383512545,29.796499252319336
2016/04/12,0.0,0.0,0.0,-0.5719,0.1010468023255814,30.15850067138672
2016/04/13,0.0,0.0,0.0,-0.1337428571428571,0.081413561847988,30.74099922180176
2016/04/14,0.0,0.0,0.0,0.1779,0.1486655940594059,31.037500381469727
2016/04/15,0.0,0.0,0.0,0.302325,0.1071966966966967,31.29450035095215
2016/04/18,0.0,0.0,0.0,0.188375,0.1238040897097625,31.767499923706055
2016/04/19,0.0,0.0,0.0,0.44406,0.1145436403508772,31.395000457763672
2016/04/20,0.0,0.0,0.0,0.2263,0.1316207547169811,31.649499893188477
2016/04/21,0.0,0.0,0.0,0.1779,0.1388664215686274,31.549999237060547
2016/04/22,0.0,0.0,0.0,0.1779,0.1323399416909621,31.024999618530273
2016/04/25,0.0,0.0,0.0,0.0,0.1116761133603238,31.309999465942383
2016/04/26,0.0,0.0,0.0,0.1779,0.1193050279329608,30.8439998626709
2016/04/27,0.0,0.0,0.0,0.3612,0.1059287190082644,30.328500747680664
2016/04/28,0.0,0.0,0.0,-0.04122,0.1673366831072749,30.100000381469727
